AAPL,2024-10-24,230.57,31109500,229.98,230.82,228.41
AAPL,2024-10-23,230.76,52286980,234.08,235.144,227.76
AAPL,2024-10-22,235.86,38846580,233.885,236.22,232.60
AAPL,2024-10-21,236.48,36254470,234.45,236.85,234.45
AAPL,2024-10-18,235.00,46431470,236.18,236.18,234.01
AAPL,2024-10-17,232.15,32993810,233.43,233.85,230.52
AAPL,2024-10-16,231.78,34082240,231.60,232.12,229.84
AAPL,2024-10-15,233.85,64751370,233.61,237.49,232.37
AAPL,2024-10-14,231.30,39882090,228.70,231.73,228.60
AAPL,2024-10-11,227.55,31759190,229.30,229.41,227.34
AAPL,2024-10-10,229.04,28183540,227.78,229.50,227.17
AAPL,2024-10-09,229.54,33591090,225.23,229.75,224.83
AAPL,2024-10-08,225.77,31855690,224.30,225.98,223.25
AAPL,2024-10-07,221.69,39505350,224.50,225.69,221.33
AAPL,2024-10-04,226.80,37345100,227.90,228.00,224.13
AAPL,2024-10-03,225.67,34044160,225.14,226.805,223.32
AAPL,2024-10-02,226.78,32880610,225.89,227.37,223.02
AAPL,2024-10-01,226.21,63285050,229.52,229.65,223.74
AAPL,2024-09-30,233.00,54793390,230.04,233.00,229.65
